replication_id,scenario_id,replication_seed,regime,service_level,waste_rate,retail_order_bullwhip,importer_procurement_bullwhip,exporter_1_allocation_volatility,exporter_2_allocation_volatility,exporter_1_readiness_volatility,exporter_2_readiness_volatility,mean_total_inventory,total_lost_sales,total_waste,mean_abs_readiness_mismatch_1,mean_abs_readiness_mismatch_2
0,efd2bbd58a32d830,18154560826472160181,N,0.992995799813543,0.03135973301634886,3.1262494911553738,15.228276096581064,3.807069024145266,3.807069024145266,5.338567918500915,5.19933414152946,53.74731104740414,169.10940930181704,776.3733145792266,3.988387319228108,4.032698157369315
0,efd2bbd58a32d830,18154560826472160181,S,0.9867528641071305,0.06307604536091284,3.410782884122369,14.9770166773537,9.897283886971634,9.286358998649323,7.122081574579315,6.861595504413824,60.449489425123936,319.83884899744294,1604.3728440227517,5.762328957890381,5.815030238625102
0,efd2bbd58a32d830,18154560826472160181,F,0.9915423227132147,0.03854132302950716,2.977654911639318,12.178865050769,7.465374034300868,6.855876740799998,7.465374034300868,6.855876740799998,59.088655433032784,204.20216041214317,959.8596344906921,0.0,0.0
1,740d1ec64c17c25c,583025130916150325,N,0.9892747473467216,0.028370975578506402,3.2685044303182385,17.07976288160513,4.269940720401283,4.269940720401283,5.81729574225766,5.620330811191579,53.736937700252966,260.54856270608985,702.117030816585,4.607390514968002,4.627478821487339
1,740d1ec64c17c25c,583025130916150325,S,0.9825688223165059,0.056349579158644844,3.4097493137135375,16.620158062795927,11.275862952642004,10.663246214607426,7.498872771175876,7.4419127506610385,60.27012509508038,423.45559946512384,1425.876015019974,6.053981563749853,5.890032537069683
1,740d1ec64c17c25c,583025130916150325,F,0.9920695893410728,0.03598444395349203,3.001906569121057,13.502288689307262,8.164011728310845,8.00250112238487,8.164011728310845,8.00250112238487,59.39785247211222,192.65346613732066,899.1501608957772,0.0,0.0
2,48fc424fdbbeabe8,16398357247701834850,N,0.9914750562124509,0.036142061745520614,3.389705229762636,17.430686546072362,4.3576716365180905,4.3576716365180905,5.573619904522795,5.607169054684969,54.128005511111766,205.45114527993587,895.2225394091047,4.113773510677438,3.9611750394252088
2,48fc424fdbbeabe8,16398357247701834850,S,0.9825680176193146,0.06741127924095858,3.574519719606287,17.024536738088997,9.34173681924653,10.052122596206114,7.138144450966387,7.421845132732581,61.04994736721479,420.1107753745199,1710.5517211225672,5.80460580936036,5.8959433546358175
2,48fc424fdbbeabe8,16398357247701834850,F,0.993737443149496,0.038475712775084873,3.0004097147813362,13.426655637929917,7.090865965487409,7.66524227368693,7.090865965487409,7.66524227368693,59.00932965704243,150.9276200971458,958.3214944228185,0.0,0.0
3,c8bc873cc8d7bf0e,2269397296339111156,N,0.9908844480899873,0.03061196884518698,2.9550162017914006,14.384518694708039,3.5961296736770096,3.5961296736770096,4.847975519488463,5.041493206589898,52.728644798913685,214.59832306551704,736.8659225899407,3.1841569009208444,4.036385362352532
3,c8bc873cc8d7bf0e,2269397296339111156,S,0.9820356929322774,0.059074911946925025,3.1855628080480543,14.025779188329688,9.076892289077799,8.093272755371006,6.507136141461436,6.551651340212006,59.367354211609324,422.9157169883267,1453.4187290785262,5.834143871452223,5.313740927032825
3,c8bc873cc8d7bf0e,2269397296339111156,F,0.9907699376811443,0.03589494396711442,2.8036631670300936,10.68391849379823,6.6286911463134155,6.298305663972668,6.6286911463134155,6.298305663972668,57.75812306925113,217.29412711049804,868.6563464294284,0.0,0.0
4,b53d2acad52e10d3,2106283565805583909,N,0.9881502385750376,0.03807752658514065,3.2232934073372403,15.152969640402096,3.788242410100524,3.788242410100524,4.76088790154086,4.922560647286523,53.59379464722449,279.6306701062662,924.3712541514324,3.4036675178277576,3.415874383591064
4,b53d2acad52e10d3,2106283565805583909,S,0.9779947541776147,0.06805128825700915,3.398931412202517,15.11650228476175,8.250134444535545,8.766650203243486,6.383034745467506,6.572448709596543,60.09820822912668,519.2797909166445,1688.146247066034,5.525857590798794,5.506910510522515
4,b53d2acad52e10d3,2106283565805583909,F,0.9878507809601915,0.041678453004743946,3.0154791286932894,12.031816270853474,6.269329775722437,6.947609155070238,6.269329775722437,6.947609155070238,58.11951144606607,286.6972709013983,1013.616109534556,0.0,0.0
5,4c823eaf9c10986c,9494189234043139157,N,0.98968227002657,0.032553061944195244,3.3235879716165933,15.86441151104189,3.9661028777604725,3.9661028777604725,5.1579433569418836,5.236336681423034,54.37590600640702,247.69774347213382,798.9782734276001,3.726523643957356,3.889430563968358
5,4c823eaf9c10986c,9494189234043139157,S,0.9815078203975466,0.06589483053910004,3.5033443889723626,15.315912349859596,8.677456784230738,8.977202542364905,6.859641896142352,6.9457837545482874,61.03339273877887,443.94175571609765,1661.0309053291448,5.752531255772198,5.680783139921529
5,4c823eaf9c10986c,9494189234043139157,F,0.9923457418689835,0.03575598014292828,2.878981295755178,12.109730867513703,6.654386486695295,6.82308963060582,6.654386486695295,6.82308963060582,58.80362393183301,183.75577495131296,883.3160496332414,0.0,0.0
6,0c4d8050dcfc561f,9175908689249402304,N,0.9909363491252704,0.028173612881061877,3.226871892685447,17.00188303316725,4.250470758291812,4.250470758291812,5.582946975421576,5.509066985806251,54.12161632988535,218.02612179162122,690.8419961272089,4.120081325632526,4.001219351661072
6,0c4d8050dcfc561f,9175908689249402304,S,0.9851846880740688,0.058095098650158696,3.3510386155317584,16.002431740142264,9.756493220647986,10.33503872457706,7.086939509198611,7.285043922049193,60.765565552970784,356.38232837827684,1461.1380369120416,5.716633729413181,5.7625397253175255
6,0c4d8050dcfc561f,9175908689249402304,F,0.9913632523991083,0.03389676103785915,3.0965231232918784,14.128216668132206,7.602483071629183,8.08895868504866,7.602483071629183,8.08895868504866,59.28394891752194,207.75696353945176,836.2116853712611,0.0,0.0
7,b93c197452127748,18411039279325525482,N,0.990162118534728,0.032814759833980016,3.2067915472820196,14.925881190427917,3.7314702976069793,3.7314702976069793,4.874653503104692,4.909852994312651,54.7353309356423,238.04721781518748,813.6524489770228,3.6201939364273334,3.6315706811033253
7,b93c197452127748,18411039279325525482,S,0.9818398326567687,0.06313253889151571,3.411630894216846,14.835105919153252,8.366035266982925,8.054531450390495,6.524563845873785,6.548943173641648,61.73751503642598,439.4215692041683,1602.4912224436932,5.704970667287975,5.613133387640947
7,b93c197452127748,18411039279325525482,F,0.9921337256946828,0.036144713741858375,2.936886126610025,12.323345029672721,6.668369184942224,6.294672088985793,6.668369184942224,6.294672088985793,59.58233550893046,190.3402393657588,899.7710327125012,0.0,0.0
8,f3d93e6376548f3d,17412653627742288767,N,0.992074603773273,0.02941590211194125,2.916667693103964,15.449853955544878,3.8624634888862195,3.8624634888862195,5.175132677764736,5.10021826634418,54.43970403588921,191.49342363017917,726.0211190127218,3.502731415589614,3.596763713754287
8,f3d93e6376548f3d,17412653627742288767,S,0.9847209594844847,0.059579047563172706,3.070193225010403,15.057183596821291,8.94056555340301,8.733193766950572,6.841587153088641,6.860132312151042,61.23789894636382,369.1721769358804,1506.037019843832,5.559865650262171,5.593833191179693
8,f3d93e6376548f3d,17412653627742288767,F,0.9923841367456177,0.03702166420202921,2.823449159841565,11.979685251439259,7.231259764604293,6.542410757074698,7.231259764604293,6.542410757074698,59.16629027463328,184.01448795238917,921.1043397034304,0.0,0.0
9,1b6a15e02bc2dfd9,14360288428696390321,N,0.9910775041276947,0.032950134481946614,3.042118074430447,13.416862861908767,3.3542157154771917,3.3542157154771917,4.65478350141598,4.518535794204599,54.54191353768405,214.4968007702177,811.0697483153622,3.683120767334027,3.0605928231613753
9,1b6a15e02bc2dfd9,14360288428696390321,S,0.9864272310252131,0.05936295130810971,3.033454743092407,12.539646142976363,7.006963244360838,7.557626050370485,5.971511610011496,5.801528686438217,61.06975986158952,326.2893661538791,1495.5276209762928,5.099330990625472,5.639121396815337
9,1b6a15e02bc2dfd9,14360288428696390321,F,0.9928646276153571,0.03574577497797926,2.7710684111013433,11.058835123293141,5.606040313786902,6.373779602031335,5.606040313786902,6.373779602031335,58.93188009457413,171.5343521268122,885.0541510780339,0.0,0.0
10,7c362520b9d279d5,707028829783831254,N,0.9937299728971295,0.02400192696938464,2.9479965659179213,15.00765587294728,3.75191396823682,3.75191396823682,5.2857532267213,4.867601576813527,54.21780389967799,151.1828935044158,588.1876934619914,4.095372555471633,3.565416264713386
10,7c362520b9d279d5,707028829783831254,S,0.9878306678916776,0.05128100238201562,3.0267812948339494,14.2123194660708,9.24953159279748,8.530886037745262,6.883206688634273,6.437378155312597,60.74004726725743,293.42693579586944,1285.188100764337,5.431317025985029,5.859281396628186
10,7c362520b9d279d5,707028829783831254,F,0.9931395490501402,0.03084724459121883,2.7124758821847172,11.610437526976533,6.7822116436480755,6.845643462157594,6.7822116436480755,6.845643462157594,59.36061906990511,165.41919330302,761.0764564690903,0.0,0.0
11,b3f61c340012ae31,2249076315507157767,N,0.9921686790374554,0.02740870442010359,3.186371955308866,15.290858439852558,3.8227146099631395,3.8227146099631395,5.095818057290277,4.836568653720704,53.962927317618,188.10832952032064,670.8101803841994,4.058675411608528,3.654330844944017
11,b3f61c340012ae31,2249076315507157767,S,0.9863491337461116,0.05540876169536622,3.307191445223212,15.068582514856383,9.771183193135904,9.31883455210465,6.733325288054244,6.576425039749458,60.42829634669484,327.8938074184,1387.8257397297352,5.588856358750018,5.691855869348478
11,b3f61c340012ae31,2249076315507157767,F,0.9934384221009378,0.03223236881900256,2.7421077393188473,11.197764133621122,7.023823632919401,7.105831138155496,7.023823632919401,7.105831138155496,59.06456677018453,157.60910113547598,793.1873157796022,0.0,0.0
12,4d910d2eda1b7bc4,3215586943839124654,N,0.9923409714567436,0.030606705535942334,3.086930226109753,15.130205411696984,3.782551352924246,3.782551352924246,4.9745295372101745,4.8598258675260615,54.77885897340539,183.92391143776126,752.1252724406866,2.992532315132562,3.801831056156983
12,4d910d2eda1b7bc4,3215586943839124654,S,0.9868663872011192,0.06319354650937199,3.4589722872051127,15.479953456603475,9.464549997754869,7.968811649180139,6.931362373154574,6.828590806695783,61.46576618427589,315.3905777523264,1599.3483389366293,5.778154713095721,5.269686921405935
12,4d910d2eda1b7bc4,3215586943839124654,F,0.9937474546041165,0.037512633462667005,2.9887511233641897,12.373551781165682,7.523383668096154,6.287472326148987,7.523383668096154,6.287472326148987,59.29375751328302,150.14862513674785,929.6187491146922,0.0,0.0
13,1de37aa7f125f9c2,7848416998020336102,N,0.9864946648297627,0.034383809030308986,3.393024909159208,17.19948797275159,4.299871993187898,4.299871993187898,5.288003505483376,5.220736402976294,52.83535319787601,322.49389853009677,839.8593977538222,4.650082395393267,4.23218111383162
13,1de37aa7f125f9c2,7848416998020336102,S,0.983110567413006,0.059520870982258084,3.4051418087412935,16.091135485812405,10.302467010602225,10.682392004360178,6.730111788101879,6.7382426677584375,59.49432482987904,403.3027607448321,1487.809808716885,5.703188382567586,5.9509850067545385
13,1de37aa7f125f9c2,7848416998020336102,F,0.9901935197840201,0.03971442017478934,3.127645988100409,13.849802326651936,8.045365095444401,8.466337455647457,8.045365095444401,8.466337455647457,58.264241613825355,234.1689410773836,977.8170135116856,0.0,0.0
14,bb1e91a2811da9e7,12637917950436599476,N,0.9903006010994185,0.03187883458209563,3.1338086964905534,13.928908168368732,3.482227042092183,3.482227042092183,4.674049761538112,4.880786795046107,54.36393496524474,232.2424072755229,782.0792455581542,3.3080327962335945,3.492881688678464
14,bb1e91a2811da9e7,12637917950436599476,S,0.9847046706343392,0.0610234646037335,3.36907616215287,13.644175815893734,7.955163460282184,8.320830417994008,6.353110279063916,6.502983588180789,60.98133393719756,366.2313663313814,1535.276594450245,5.522325199964498,5.489677195762636
14,bb1e91a2811da9e7,12637917950436599476,F,0.9917483725591134,0.0350666923019566,2.8527683924424836,10.860041046795455,6.1757882038584295,6.378812570956012,6.1757882038584295,6.378812570956012,58.859437902260716,197.5769674445856,864.7184780263528,0.0,0.0
15,9c0e7d005f95b886,12631696581790737570,N,0.98867435356999,0.0400196506141374,3.3157781821103938,15.415656389293707,3.8539140973234267,3.8539140973234267,4.949808987840909,5.053317701418784,54.19097341663318,270.97741648441763,986.2585911262638,3.3289236711175425,3.6894305289389484
15,9c0e7d005f95b886,12631696581790737570,S,0.9802857403909022,0.07380594235257945,3.64937050050372,15.547253688740863,9.111306645515869,8.88915559192137,6.71887856752486,6.751547106800997,60.86335587115406,471.683375407271,1868.9486188386604,5.749460086640027,5.574969048253522
15,9c0e7d005f95b886,12631696581790737570,F,0.988965155648918,0.044510049803868273,3.077903971853988,11.58927216995431,6.715554064333855,6.6995443417071225,6.715554064333855,6.6995443417071225,59.01714899736495,264.0196859439892,1101.0215011134223,0.0,0.0
16,2dde2186f7f297c8,15306973309152035735,N,0.9912852639215479,0.03206847601347019,3.2160290759981742,15.258178297802795,3.8145445744506987,3.8145445744506987,4.930691933073651,5.263864384768949,53.29066247063977,209.4063932291239,787.2955537945967,4.674748780149469,3.8799454760322107
16,2dde2186f7f297c8,15306973309152035735,S,0.9868461864030086,0.057685083076118776,3.241629714298221,14.259580984884277,8.523234486214632,10.615611351508745,6.336973120131427,6.760003093187169,59.88346147405623,316.0729869221067,1448.8871676845315,5.634997259836864,6.158708627248563
