replication_id,scenario_id,replication_seed,metric,N_value,S_value,F_value,S_minus_N,F_minus_S,F_minus_N
0,efd2bbd58a32d830,18154560826472160181,service_level,0.992995799813543,0.9867528641071305,0.9915423227132147,-0.006242935706412545,0.0047894586060842625,-0.001453477100328282
1,740d1ec64c17c25c,583025130916150325,service_level,0.9892747473467216,0.9825688223165059,0.9920695893410728,-0.00670592503021572,0.009500767024566925,0.002794841994351205
2,48fc424fdbbeabe8,16398357247701834850,service_level,0.9914750562124509,0.9825680176193146,0.993737443149496,-0.008907038593136352,0.01116942553018141,0.0022623869370450578
3,c8bc873cc8d7bf0e,2269397296339111156,service_level,0.9908844480899873,0.9820356929322774,0.9907699376811443,-0.008848755157709887,0.00873424474886686,-0.0001145104088430271
4,b53d2acad52e10d3,2106283565805583909,service_level,0.9881502385750376,0.9779947541776147,0.9878507809601915,-0.010155484397422865,0.009856026782576799,-0.0002994576148460659
5,4c823eaf9c10986c,9494189234043139157,service_level,0.98968227002657,0.9815078203975466,0.9923457418689835,-0.008174449629023472,0.010837921471436918,0.002663471842413445
6,0c4d8050dcfc561f,9175908689249402304,service_level,0.9909363491252704,0.9851846880740688,0.9913632523991083,-0.0057516610512016175,0.006178564325039493,0.0004269032738378753
7,b93c197452127748,18411039279325525482,service_level,0.990162118534728,0.9818398326567687,0.9921337256946828,-0.008322285877959357,0.01029389303791417,0.0019716071599548135
8,f3d93e6376548f3d,17412653627742288767,service_level,0.992074603773273,0.9847209594844847,0.9923841367456177,-0.007353644288788264,0.00766317726113297,0.000309532972344706
9,1b6a15e02bc2dfd9,14360288428696390321,service_level,0.9910775041276947,0.9864272310252131,0.9928646276153571,-0.004650273102481561,0.006437396590143973,0.001787123487662412
10,7c362520b9d279d5,707028829783831254,service_level,0.9937299728971295,0.9878306678916776,0.9931395490501402,-0.0058993050054518825,0.005308881158462619,-0.0005904238469892631
11,b3f61c340012ae31,2249076315507157767,service_level,0.9921686790374554,0.9863491337461116,0.9934384221009378,-0.005819545291343875,0.007089288354826251,0.0012697430634823759
12,4d910d2eda1b7bc4,3215586943839124654,service_level,0.9923409714567436,0.9868663872011192,0.9937474546041165,-0.005474584255624415,0.006881067402997321,0.0014064831473729056
13,1de37aa7f125f9c2,7848416998020336102,service_level,0.9864946648297627,0.983110567413006,0.9901935197840201,-0.003384097416756715,0.007082952371014195,0.00369885495425748
14,bb1e91a2811da9e7,12637917950436599476,service_level,0.9903006010994185,0.9847046706343392,0.9917483725591134,-0.005595930465079335,0.007043701924774215,0.0014477714596948799
15,9c0e7d005f95b886,12631696581790737570,service_level,0.98867435356999,0.9802857403909022,0.988965155648918,-0.00838861317908779,0.008679415258015744,0.0002908020789279542
16,2dde2186f7f297c8,15306973309152035735,service_level,0.9912852639215479,0.9868461864030086,0.9936953992839335,-0.004439077518539336,0.006849212880924882,0.002410135362385546
17,7d27ea5a36015daa,11912966408235049794,service_level,0.9855970701123347,0.9756756909398648,0.9880964521875768,-0.009921379172469824,0.012420761247711964,0.0024993820752421403
18,450638d687f99e16,13662181571893650717,service_level,0.9880997403886338,0.9822913386417551,0.9911309260343093,-0.005808401746878689,0.008839587392554193,0.003031185645675505
19,71dc83c60ef39a61,6716774480996898736,service_level,0.9899578962260298,0.9799997144919542,0.991636842699325,-0.009958181734075588,0.011637128207370728,0.0016789464732951398
20,f7d27eeb3e232b43,6074613405453781192,service_level,0.987307382794225,0.9815597663489158,0.9899705737683693,-0.005747616445309189,0.008410807419453437,0.002663190974144247
21,80cac39a6a93e25b,12656529146208048523,service_level,0.9885522659192143,0.9835317250316945,0.9918684807717755,-0.005020540887519798,0.00833675574008097,0.0033162148525611723
22,cda0457b3f19dc5f,16800882232702200752,service_level,0.9910964508738523,0.9848848570769037,0.9918893514058158,-0.006211593796948689,0.0070044943289121475,0.0007929005319634586
23,99fe83fe7a61efee,5072631503236424711,service_level,0.9874497813206609,0.980197240546204,0.9891001601124008,-0.007252540774456806,0.00890291956619671,0.0016503787917399038
24,4734a950ab8deb19,1658852715428394783,service_level,0.991777894785302,0.986031668062111,0.9927882493715284,-0.005746226723191028,0.006756581309417475,0.0010103545862264474
25,38bb46dac36d9613,6198866614064143415,service_level,0.9896149341090911,0.9817019668183204,0.9905566689830057,-0.007912967290770623,0.008854702164685202,0.0009417348739145792
26,73ca68e153b90efe,9131912532472506910,service_level,0.9896155223824332,0.9844724544447195,0.9911175831063986,-0.005143067937713686,0.0066451286616791005,0.001502060723965415
