layer,outcome_key,outcome_label,estimand,mean,ci_low,ci_high,between_seed_sd,seed_41001,seed_41002,seed_41003,seed_41004,seed_41005
EXPLORATORY,retail_order_bullwhip,Retail-order bullwhip,Gamma_V,9.307667,-28.174666,47.363115,50.591843,-31.050906,84.193681,17.450554,-43.845132,19.790138
EXPLORATORY,retail_order_bullwhip,Retail-order bullwhip,Gamma_H,10.082192,-36.527291,45.670008,54.818986,45.542299,-81.948325,14.496576,57.535864,14.784547
EXPLORATORY,total_lost_sales,Total lost sales,Gamma_V,3275.800031,-180.392076,6813.859241,4579.311209,668.496782,7771.053152,16.385352,8721.300908,-798.236039
EXPLORATORY,total_lost_sales,Total lost sales,Gamma_H,-3604.440665,-8664.310721,-96.279457,5752.219753,-2099.909940,-13468.609783,-179.664116,-3244.277897,970.258410
EXPLORATORY,total_waste,Total waste,Gamma_V,-61.281325,-2024.010327,2173.201345,2664.947328,-930.523010,4058.440294,-300.542701,-3311.758095,177.976886
EXPLORATORY,total_waste,Total waste,Gamma_H,865.734088,-1875.507542,3297.893636,3271.298126,1582.718801,-4172.619848,4862.844675,1690.065553,365.661260
EXPLORATORY,mean_abs_stock_allocation_gap_exporter_average,Stock-allocation gap,Gamma_V,-18.904744,-49.059334,-2.075621,33.757978,-6.654695,-79.084132,-1.589970,-0.568038,-6.626887
EXPLORATORY,mean_abs_stock_allocation_gap_exporter_average,Stock-allocation gap,Gamma_H,0.513516,-22.900361,36.090899,39.958011,-12.716858,70.104940,-25.810544,-25.099670,-3.910290
